Grape,Country,Wine name,Wine rating average,Wine ratings count
Merlot,it,Amarone della Valpolicella Classico Riserva,4.8,587
Merlot,it,Fratini Bolgheri Superiore,4.8,153
Merlot,fr,Cristal Rosé Vinothèque,4.8,88
Merlot,fr,Batard-Montrachet Grand Cru,4.8,34
Merlot,fr,Sauternes,4.7,44126
Merlot,fr,Pomerol,4.7,32157
Merlot,it,Toscana,4.7,16284
Merlot,fr,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,9564
Merlot,it,Amarone della Valpolicella Classico,4.7,8900
Merlot,it,Amarone della Valpolicella Monte Lodoletta,4.7,7947
Merlot,fr,Châteauneuf-du-Pape,4.7,7544
Merlot,fr,P2 Plénitude Brut Champagne,4.7,7543
Merlot,fr,Romanée-Saint-Vivant Grand Cru (Marey-Monge),4.7,6597
Merlot,it,Cerretalto Brunello di Montalcino,4.7,5373
Merlot,it,Barolo Riserva Monfortino,4.7,5013
Merlot,fr,Chambertin Grand Cru,4.7,3401
Merlot,it,Veneto Alzero Cabernet,4.7,2600
Merlot,fr,Clos du Mesnil,4.7,2471
Merlot,fr,Collection,4.7,2184
Merlot,fr,Pomerol,4.7,2164
Merlot,it,Harlequin,4.7,1276
Merlot,it,La Mattonara Amarone della Valpolicella Classico Riserva,4.7,1196
Merlot,it,Recioto della Valpolicella Classico,4.7,1045
Merlot,za,Book 17 XVII,4.7,814
Merlot,it,De Buris Amarone della Valpolicella Classico Riserva,4.7,574
Merlot,fr,Montrachet Grand Cru,4.7,516
Merlot,hu,Eszencia,4.7,488
Merlot,za,The Black Lion,4.7,476
Merlot,fr,Montrachet Grand Cru,4.7,459
Merlot,fr,Cristal Vinothèque,4.7,426
Merlot,fr,Échézeaux Grand Cru,4.7,359
Merlot,it,Fieramonte Amarone della Valpolicella Riserva,4.7,315
Merlot,it,Permassimo,4.7,186
Merlot,fr,Ligne de Crete Les Grandes Vignes Hermitage,4.7,76
Merlot,fr,Brut Champagne,4.6,146377
Merlot,it,Sassicaia,4.6,107646
Merlot,fr,Pauillac (Premier Grand Cru Classé),4.6,73615
Merlot,cl,Almaviva,4.6,48075
Merlot,it,Bolgheri Superiore,4.6,47939
Merlot,fr,Château Margaux (Premier Grand Cru Classé),4.6,45350
Merlot,fr,Cristal Brut Champagne (Millésimé),4.6,42456
Merlot,fr,Pessac-Léognan (Premier Grand Cru Classé),4.6,39605
Merlot,fr,Pauillac (Premier Grand Cru Classé),4.6,39283
Merlot,fr,Grand Vin Pauillac (Premier Grand Cru Classé),4.6,38521
Merlot,it,Tenuta Tignanello 'Solaia',4.6,33143
Merlot,fr,Grande Cuvée,4.6,28513
Merlot,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,28198
Merlot,cl,Clos Apalta,4.6,23256
Merlot,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,22896
Merlot,fr,Vintage,4.6,16918
Merlot,fr,Brut Rosé Champagne,4.6,13747
Merlot,cl,La Piu Belle,4.6,13420
Merlot,za,Vin de Constance (Natural Sweet),4.6,13210
Merlot,fr,Sir Winston Churchill Brut Champagne,4.6,12873
Merlot,it,'Giulio Ferrari' Riserva del Fondatore,4.6,12592
Merlot,it,Sperss Barolo,4.6,10950
Merlot,it,Kurni Marche,4.6,10261
Merlot,fr,L'Hermitage,4.6,8592
Merlot,cl,VIK,4.6,8493
Merlot,fr,R.D Extra Brut Champagne (Récemment Dégorgé),4.6,7737
Merlot,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,6637
Merlot,fr,Cristal Rosé Brut Champagne (Millésimé),4.6,5883
Merlot,fr,Blanc des Millénaires,4.6,5581
Merlot,fr,Saint-Émilion Grand Cru,4.6,5390
Merlot,cl,Red,4.6,4933
Merlot,fr,Côte-Rôtie La Turque,4.6,4891
Merlot,fr,Côte-Rôtie La Mouline,4.6,4380
Merlot,fr,Côte-Rôtie La Landonne,4.6,4068
Merlot,it,Sorì Tildìn (Barbaresco) Langhe,4.6,3955
Merlot,it,Lodovico,4.6,3860
Merlot,it,Sorì San Lorenzo,4.6,3857
Merlot,it,Veneto Rosso del Bepi,4.6,3747
Merlot,fr,Rosé,4.6,3605
Merlot,fr,Musigny Grand Cru (Cuveé Vieilles Vignes),4.6,3533
Merlot,it,Brunello di Montalcino Riserva,4.6,3375
Merlot,it,Campo del Titari Amarone della Valpolicella Classico Riserva,4.6,2946
Merlot,it,Costa Russi (Barbaresco) Langhe,4.6,2876
Merlot,it,Calcarole Amarone della Valpolicella Classico,4.6,2757
Merlot,hu,Tokaji Aszú 6 Puttonyos,4.6,2366
Merlot,fr,Chevalier-Montrachet Grand Cru,4.6,2340
Merlot,it,Campo Inferi Amarone della Valpolicella Classico Riserva,4.6,2112
Merlot,fr,Montrachet Grand Cru Marquis de Laguiche,4.6,1970
Merlot,fr,Pignan Châteauneuf-du-Pape Réserve Rouge,4.6,1881
Merlot,it,Tenuta Guado al Tasso Matarocchio,4.6,1875
Merlot,fr,Chateauneuf-du-Pape Réserve des Célestins,4.6,1633
Merlot,it,Brunello di Montalcino Riserva,4.6,1589
Merlot,it,Millecento Brunello di Montalcino Riserva,4.6,1364
Merlot,fr,Vin de Pays de l'Hérault Blanc,4.6,1209
Merlot,fr,Bâtard-Montrachet Grand Cru,4.6,1191
Merlot,fr,La Grande Dame Brut Rosé Champagne,4.6,1118
Merlot,it,L'Amarone del Maestro Fornaser,4.6,1031
Merlot,it,Barolo Riserva Villero,4.6,803
Merlot,it,Vin Santo di Montepulciano,4.6,773
Merlot,fr,Musigny Grand Cru,4.6,739
Merlot,fr,Corton-Charlemagne Grand Cru,4.6,719
Merlot,it,Barolo Cerretta,4.6,684
Merlot,fr,Vosne-Romanée Premier Cru Aux Reignots,4.6,645
Merlot,it,Falletto Barolo Le Rocche del Falletto Riserva,4.6,622
Merlot,it,Barolo Riserva Monprivato Cà d'Morissio,4.6,588
Merlot,fr,Montrachet Grand Cru,4.6,495
Merlot,it,Ampio,4.6,481
Merlot,fr,L'Extravagant de Doisy-Daëne Sauternes,4.6,465
Merlot,it,Octavius Amarone della Valpolicella Riserva,4.6,450
Merlot,it,Perpiero,4.6,351
Merlot,fr,Montrachet Grand Cru,4.6,269
Merlot,it,Barolo Arione,4.6,259
Merlot,za,888 Pinotage Gold,4.6,234
Merlot,za,The Journeyman,4.6,231
Merlot,it,Recioto della Valpolicella (Monte Lodoletta),4.6,227
Merlot,fr,Clos de Tart Grand Cru,4.6,214
Merlot,it,Croce Del Gal Riserva Amarone della Valpolicella Classico,4.6,188
Merlot,it,Bassolino di Sopra Brunello di Montalcino,4.6,174
Merlot,fr,Cuve 38 Blanc de Blancs Champagne (La Réserve Perpétuelle),4.6,149
Merlot,it,Bure Alto Amarone  della Valpolicella Classico Riserva,4.6,132
Merlot,fr,Musigny Grand Cru,4.6,128
Merlot,it,A50 Amarone della Valpolicella,4.6,100
Merlot,it,Secentenario,4.6,96
Merlot,it,Moss Blanc Verdicchio dei Castelli di Jesi Classico Superiore,4.6,94
Merlot,it,Nettare Veneto Bianco,4.6,87
Merlot,it,Aegusa,4.6,81
Merlot,it,Grande Cuvée Luigi Moio,4.6,80
Merlot,fr,Bienvenues-Bâtard-Montrachet Grand Cru,4.6,76
Merlot,fr,Collection Vintage 2000 Brut,4.6,58
Merlot,hu,Aszú 6 Puttonyos Tokaj,4.6,54
Merlot,fr,Les Riceys Cuvée Cyriès Brut Millesimé Champagne,4.6,43
Merlot,it,Dieci Brunello di Montalcino,4.6,43
Merlot,fr,Clos Saint-Denis Grand Cru,4.6,40
Merlot,it,Glesie Climat,4.6,37
Merlot,fr,Corton-Charlemagne Grand Cru,4.6,35
Merlot,fr,Single Barrel Champagne Grand Cru 'Le Mesnil-sur-Oger',4.6,34
Merlot,it,Tignanello,4.5,142513
Merlot,it,60 Sessantanni Old Vines Primitivo di Manduria,4.5,94289
Merlot,it,Tenuta Guado al Tasso Bolgheri Superiore,4.5,33392
Merlot,fr,Grand Vin de Château Palmer (Grand Cru Classé),4.5,29026
Merlot,it,Brunello di Montalcino,4.5,27452
Merlot,fr,Comtes de Champagne Blanc de Blancs,4.5,27449
Merlot,fr,La Grande Année Brut Champagne,4.5,24646
Merlot,it,Barbaresco,4.5,24516
Merlot,it,Flaccianello della Pieve,4.5,21518
Merlot,it,Ben Ryé Passito di Pantelleria,4.5,21351
Merlot,fr,Belle Epoque Brut Champagne,4.5,20992
Merlot,it,Tenuta Nuova Brunello di Montalcino,4.5,20934
Merlot,cl,Aconcagua Valley,4.5,18482
Merlot,fr,Dom Ruinart Blanc de Blancs Brut Champagne,4.5,18466
Merlot,fr,La Grande Dame Brut Champagne,4.5,17474
Merlot,fr,Pessac-Léognan (Grand Cru Classé de Graves),4.5,15975
Merlot,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.5,15671
Merlot,it,Valpolicella Superiore Monte Lodoletta,4.5,13024
Merlot,it,Valpolicella Classico Superiore,4.5,12262
Merlot,fr,Pomerol,4.5,12214
Merlot,it,5 Stelle Sfursat,4.5,10740
Merlot,it,Amarone della Valpolicella Classico Riserva (Sergio Zenato),4.5,9963
Merlot,fr,Grand Siècle Champagne (Grande Cuvée),4.5,9824
Merlot,fr,Pomerol,4.5,9531
Merlot,it,Limited Edition 10 Vendemmie,4.5,9453
Merlot,fr,Vin de Pays de l'Hérault,4.5,8933
Merlot,fr,Silex,4.5,8386
Merlot,it,Cuvée Annamaria Clementi (Extra Brut),4.5,7928
Merlot,it,Brunello di Montalcino,4.5,7883
Merlot,md,Lupi Rezerva,4.5,7604
Merlot,it,Poggio all'Oro Brunello di Montalcino Riserva,4.5,7033
Merlot,it,Amarone della Valpolicella Classico,4.5,6669
Merlot,it,Luce Brunello di Montalcino,4.5,6544
Merlot,it,Pietro Dal Cero Amarone della Valpolicella,4.5,6424
Merlot,fr,Cuvée Nicolas François Billecart Brut Champagne,4.5,6228
Merlot,fr,Hommage à Jacques Perrin Châteauneuf-du-Pape,4.5,6121
Merlot,it,Barolo Cascina Francia,4.5,6045
Merlot,it,Bibbona,4.5,5981
Merlot,it,Gaia & Rey Langhe,4.5,5909
Merlot,fr,Amour de Deutz Millésimé Brut Champagne,4.5,5532
Merlot,it,Messorio,4.5,5514
Merlot,hu,Tokaji Aszú 5 Puttonyos,4.5,5449
Merlot,it,Redigaffi Toscana,4.5,5212
Merlot,it,Cosimo Varvaglione Collezione Privata Primitivo di Manduria,4.5,5016
Merlot,fr,Clos de Tart Grand Cru Monopole,4.5,4948
Merlot,fr,MV,4.5,4763
Merlot,fr,Clos des Goisses Champagne,4.5,4662
Merlot,it,Campolongo di Torbe Amarone della Valpolicella Classico,4.5,4392
Merlot,it,Brunello di Montalcino,4.5,4357
Merlot,fr,Clos Sainte Hune Riesling Alsace,4.5,4106
Merlot,it,Pieve Santa Restituta Sugarille Brunello di Montalcino,4.5,3717
Merlot,it,Brunello di Montalcino Riserva Madonna del Piano,4.5,3506
Merlot,it,Pieve Santa Restituta Rennina Brunello di Montalcino,4.5,3393
Merlot,it,Mazzano Amarone Della Valpolicella Classico,4.5,3276
Merlot,it,Darmagi Langhe,4.5,3184
Merlot,za,Series C,4.5,3027
Merlot,it,Toscana Rosso,4.5,2799
Merlot,it,Madonna delle Grazie Brunello di Montalcino,4.5,2747
Merlot,cl,Altura,4.5,2733
Merlot,it,Brunello di Montalcino,4.5,2623
Merlot,fr,Bonnes-Mares Grand Cru,4.5,2595
Merlot,hu,Aszú 6 puttonyos,4.5,2450
Merlot,it,Conteisa Langhe,4.5,2295
Merlot,it,Ca’ del Merlo Rosso Veneto,4.5,2198
Merlot,it,Toscana,4.5,2185
Merlot,it,Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva,4.5,2165
Merlot,it,Cerretta Barolo Riserva (Vigna Bricco),4.5,2065
Merlot,fr,Coteau de Vernon Condrieu,4.5,2015
Merlot,fr,Les Poyeux Saumur Champigny,4.5,2005
Merlot,it,Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro,4.5,1971
Merlot,it,Falletto Barolo Le Rocche del Falletto,4.5,1883
Merlot,it,Brunello di Montalcino Riserva,4.5,1875
Merlot,za,1694 Classification Red,4.5,1841
Merlot,fr,Les Clos Chablís Grand Cru,4.5,1750
Merlot,fr,Cuvée des Enchanteleurs Brut Champagne,4.5,1732
Merlot,it,Barolo Riserva Granbussia,4.5,1728
Merlot,it,Baffonero Maremma Toscana,4.5,1682
Merlot,fr,Chablis Grand Cru 'Valmur',4.5,1653
Merlot,fr,Chassagne-Montrachet Premier Cru Morgeot Marquis de Laguiche ,4.5,1640
Merlot,za,The Stork,4.5,1638
Merlot,it,Rocche dell'Annunziata Barolo Riserva,4.5,1609
Merlot,it,Barolo Bussia Romirasco,4.5,1544
Merlot,fr,N.P.U. Extra Brut Champagne (Nec Plus Ultra),4.5,1482
Merlot,it,Brunello di Montalcino,4.5,1365
Merlot,fr,Echezeaux Grand Cru,4.5,1311
Merlot,fr,Richebourg Grand Cru,4.5,1296
Merlot,it,Lupi e Sirene Riserva,4.5,1292
Merlot,it,Brunate  Barolo,4.5,1289
Merlot,fr,Le Bourg Saumur Champigny,4.5,1264
Merlot,it,Rocche dell'Annunziata Torriglione Barolo,4.5,1222
Merlot,fr,Bonnes-Mares Grand Cru,4.5,1208
Merlot,fr,Pessac-Léognan Blanc (Grand Cru Classé de Graves),4.5,1206
Merlot,fr,Bâtard-Montrachet Grand Cru,4.5,1182
Merlot,it,Kapnios Aglianico,4.5,1134
Merlot,it,Campogiovanni Brunello di Montalcino Riserva Il Quercione,4.5,1107
Merlot,za,Faith,4.5,1048
Merlot,fr,Champagne,4.5,1021
Merlot,md,Negru de Purcari Limited Edition,4.5,970
Merlot,il,Yarden Katzrin,4.5,894
Merlot,it,Toscana Bianco,4.5,833
Merlot,fr,Brut Rosé Champagne,4.5,830
Merlot,fr,Terrasse à l'Ombre Côtes du Rhône,4.5,819
Merlot,it,Amarone della Valpolicella,4.5,749
Merlot,it,Magma,4.5,748
Merlot,it,Amarone della Valpolicella Classico Mater,4.5,739
Merlot,it,Lilium Est Amarone Della Valpolicella Riserva,4.5,733
Merlot,md,Ice Wine de Purcari,4.5,722
Merlot,it,Per Sempre Syrah Toscana,4.5,711
Merlot,fr,Montrachet Grand Cru Blanc,4.5,700
Merlot,fr,Vosne-Romanée 1er Cru 'Aux Malconsorts',4.5,681
Merlot,it,Il San Lorenzo Bianco,4.5,673
Merlot,it,Alàuda,4.5,670
Merlot,it,Brunello di Montalcino Riserva,4.5,665
Merlot,it,Kupra Marche,4.5,637
Merlot,fr,Clos de Bèze Grand Cru,4.5,635
Merlot,fr,Chambertin-Clos-de-Beze Grand Cru,4.5,611
Merlot,fr,MV Rosé,4.5,588
Merlot,it,Crichet Pajè Barbaresco,4.5,584
Merlot,fr,La Landonne Côte-Rôtie,4.5,584
Merlot,it,Vigna Grande Cerzito Taurasi Riserva,4.5,581
Merlot,fr,Bonnes Mares Grand Cru,4.5,554
Merlot,fr,Châteauneuf-du-Pape Amiral G,4.5,536
Merlot,fr,Amour de Deutz Millesimé Rosé Brut Champagne,4.5,536
Merlot,it,Amarone Stella,4.5,533
Merlot,it,Rujno Rosso,4.5,532
Merlot,it,Lux Vitis,4.5,530
Merlot,it,LR,4.5,503
Merlot,it,Ferro,4.5,499
Merlot,fr,Ozanne Blanc de Blancs Brut Champagne Grand Cru 'Avize',4.5,484
Merlot,fr,Bienvenues-Bâtard-Montrachet Grand Cru,4.5,480
Merlot,fr,Romanée-Saint-Vivant Grand Cru,4.5,463
Merlot,it,Barolo Riserva Cannubi 1752,4.5,451
Merlot,it,Grande Cuvée I Terlaner,4.5,411
Merlot,za,Reserve Chardonnay,4.5,396
Merlot,it,Es Riserva,4.5,371
Merlot,fr,Chambertin-Clos de Bèze Vieilles Vignes Grand Cru,4.5,358
Merlot,it,Riserva vecchie viti dei Capalot e delle Brunate Barolo,4.5,338
Merlot,fr,VV 26 Blanc de Blancs Vieilles Vignes Grand Cru Brut,4.5,314
Merlot,fr,Meursault 1er Cru 'Genevrières' Blanc,4.5,311
Merlot,fr,Vosne-Romanée 1er Cru Aux Malconsorts Christiane,4.5,309
Merlot,it,'Giulio Ferrari' Riserva del Fondatore Rosé,4.5,308
Merlot,it,Habemus Lazio Rosso (Etichetta Rossa),4.5,298
Merlot,it,NŌ Rosso,4.5,297
Merlot,fr,Ermitage l'Ermite Blanc,4.5,296
Merlot,it,Quarto Vecchio Amarone della Valpolicella Classico Riserva,4.5,292
Merlot,hu,Aszú Eszencia,4.5,283
Merlot,fr,Vieille Vigne Griottes-Chambertin Grand Cru,4.5,257
Merlot,fr,Tourmaline Pomerol,4.5,237
Merlot,fr,Le Montrachet Grand Cru,4.5,236
Merlot,it,Cannubi Barolo,4.5,228
Merlot,it,Amarone Senza Titolo,4.5,225
Merlot,fr,Vieilles Vignes Mazis-Chambertin Grand Cru,4.5,218
Merlot,it,Rocche dell'Annunziata Barolo,4.5,218
Merlot,it,Cabochon Doppio Zero,4.5,217
Merlot,fr,Bâtard-Montrachet Grand Cru,4.5,214
Merlot,fr,Charlemagne Grand Cru,4.5,201
Merlot,it,Vigna del Suolo Brunello di Montalcino,4.5,201
Merlot,fr,Puligny-Montrachet Premier Cru La Garenne,4.5,200
Merlot,fr,Chapelle-Chambertin Grand Cru,4.5,188
Merlot,fr,Chambertin Grand Cru,4.5,188
Merlot,fr,Hérédita Châteauneuf-du-Pape,4.5,185
Merlot,it,Barbaresco Albesani,4.5,183
Merlot,fr,Étoile Rosé,4.5,183
Merlot,it,Collina Rionda di Serralunga Barolo,4.5,156
Merlot,it,Vite Talin Barolo,4.5,131
Merlot,it,Rocche di Castiglione Barolo,4.5,131
Merlot,fr,Denarius Graves,4.5,129
Merlot,fr,Pour Vous Sancerre,4.5,125
Merlot,it,Gorgona Rosso,4.5,119
Merlot,it,Fossati Barolo,4.5,116
Merlot,it,Regina del Bosco R.Quarantottomesi,4.5,109
Merlot,fr,Vosne-Romanée Premier Cru Les Petits Monts,4.5,105
Merlot,cl,Red Blend,4.5,102
Merlot,fr,Vieux Marc de Bandol,4.5,102
Merlot,it,Bruno Lunelli Riserva,4.5,96
Merlot,it,Duna Mirante Primitivo di Manduria,4.5,96
Merlot,fr,Cuvée Madame Barsac,4.5,94
Merlot,it,Rosso,4.5,88
Merlot,it,Ciliegio Amarone della Valpolicella,4.5,76
Merlot,md,Academia Purcari Rară Neagră,4.5,73
Merlot,fr,Cuvée Ernest Riesling Alsace Sélection de Grains Nobles,4.5,68
Merlot,it,Petrucci Melo,4.5,61
Merlot,fr,Chambolle-Musigny 1er Cru 'Les Amoureuses',4.5,59
Merlot,it,Raut Lagrein,4.5,58
Merlot,fr,Collection Fût de Chêne Brut Champagne Grand Cru 'Ay',4.5,58
Merlot,it,Barolo Riserva Speciale Granbussia,4.5,56
Merlot,fr,Clos Le Léon Dizy Champagne,4.5,53
Merlot,fr,Cuvée des Hussards Vieilles Vignes Brut Champagne Premier Cru,4.5,47
Merlot,fr,Nuits-Saint-Georges 1er Cru 'Aux Murgers',4.5,40
Merlot,fr,Vin de Paille,4.5,35
Merlot,fr,Les Ouvrées Rodin Chambertin-Clos de Bèze Grand Cru,4.5,33
Merlot,fr,Charmes-Chambertin Grand Cru,4.5,33
Merlot,fr,Le Montrachet Grand Cru,4.5,30
Merlot,it,Charity Edition Nebbiolo d'Alba Arione,4.5,29
Merlot,it,Recioto della Valpolicella Classico Riserva,4.5,27
Merlot,it,Boghis Climat,4.5,27
Merlot,fr,Pauillac (Grand Cru Classé),4.4,55808
Merlot,it,Amarone della Valpolicella Classico,4.4,48329
Merlot,fr,Pauillac (Grand Cru Classé),4.4,47234
Merlot,fr,Cos d'Estournel,4.4,43704
Merlot,fr,Pauillac (Grand Cru Classé),4.4,39731
Merlot,fr,Châteauneuf-du-Pape,4.4,38998
Merlot,fr,Pauillac (Grand Cru Classé),4.4,37460
Merlot,fr,Brut Cuvée Champagne Rosé,4.4,36681
Merlot,it,Castello della Sala Cervaro della Sala,4.4,30203
Merlot,fr,Saint-Julien (Grand Cru Classé),4.4,29317
Merlot,fr,Saint-Julien (Grand Cru Classé),4.4,28094
Merlot,fr,Pessac-Léognan (Grand Cru Classé de Graves),4.4,27316
Merlot,it,Brunello di Montalcino,4.4,25989
Merlot,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.4,24916
Merlot,fr,Brut Rosé Champagne,4.4,23241
Merlot,it,Pieve Santa Restituta Brunello di Montalcino,4.4,21867
Merlot,fr,Brut Rosé Champagne,4.4,21147
Merlot,it,Old Vines Primitivo di Manduria,4.4,20904
Merlot,fr,Sauternes (Premier Grand Cru Classé),4.4,19239
Merlot,it,Amarone della Valpolicella Classico,4.4,18720
Merlot,it,Luce,4.4,17470
Merlot,fr,Pavillon Rouge du Château Margaux,4.4,16401
Merlot,it,Turriga Isola dei Nuraghi,4.4,14641
Merlot,fr,Carruades de Lafite Pauillac,4.4,13866
Merlot,fr,Pomerol,4.4,13504
Merlot,za,Fusion V,4.4,12877
Merlot,hu,5 Puttonyos Aszú (Blue Label),4.4,11106
Merlot,it,Paleo Rosso,4.4,10940
Merlot,it,Saffredi,4.4,10499
Merlot,fr,Pomerol,4.4,10374
Merlot,fr,Corton-Charlemagne Grand Cru,4.4,10296
Merlot,it,Guerriero della Terra,4.4,10185
Merlot,cl,Domus Aurea Cabernet Sauvignon,4.4,9603
Merlot,it,Brunello di Montalcino,4.4,9257
Merlot,it,Brunello di Montalcino,4.4,9171
Merlot,it,50 & 50,4.4,9157
Merlot,fr,Baron de L Pouilly-Fumé,4.4,9002
Merlot,it,Bolgheri Superiore,4.4,8918
Merlot,it,Quarz Sauvignon,4.4,8884
Merlot,it,Toscana I Sodi di San Niccolo,4.4,8853
Merlot,fr,Côtes de Bourg,4.4,8249
Merlot,fr,Le Petit Mouton de Mouton Rothschild Pauillac,4.4,8214
Merlot,it,Siepi,4.4,8129
Merlot,it,Campo León Amarone della Valpolicella,4.4,7778
Merlot,it,Kairos,4.4,7364
Merlot,fr,Pomerol,4.4,7221
Merlot,fr,Côte-Rôtie,4.4,7177
Merlot,it,Barolo Monprivato,4.4,6966
Merlot,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.4,6879
Merlot,fr,Clos des Lambrays Grand Cru,4.4,6431
Merlot,it,Vürsù Barolo Campè,4.4,6260
Merlot,it,Brunello di Montalcino  Montosoli,4.4,6176
Merlot,fr,Barsac (Premier Grand Cru Classé),4.4,6028
Merlot,it,Trebbiano d'Abruzzo,4.4,5834
Merlot,fr,Corton-Charlemagne Grand Cru,4.4,5755
Merlot,fr,Blanc de Blancs Brut Champagne Grand Cru,4.4,5553
Merlot,it,Ornato Barolo,4.4,5469
Merlot,it,Lagrein Riserva Porphyr,4.4,5123
Merlot,it,Campo dei Gigli Amarone della Valpolicella,4.4,5050
Merlot,it,Beyond the Clouds,4.4,4760
