winery_id,wines_name,average_rating,number_of_wines,total_rating,avg_rating_count
6733,Duemani Cabernet Franc,4.4,1,2339,2339.0
6640,Semel Pater,4.4,1,710,710.0
6557,Museum Collection White,4.4,1,297,297.0
6457,Gallina Barbaresco,4.4,1,1017,1017.0
6287,Amarone Classico Monte Danieli,4.4,1,504,504.0
6234,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.4,1,24916,24916.0
5459,Bual Madeira,4.4,1,187,187.0
5415,Rioja Reserva 10 Años Después Edición Limitada,4.4,1,1093,1093.0
5309,"Les Beaux Monts Vosne-Romanée 1er Cru,Les Boudots Nuits-Saint-Georges 1er Cru",4.4,2,1126,563.0
5103,"Brunello di Montalcino,Madonna delle Grazie Brunello di Montalcino",4.4,2,8355,4177.5
5087,Fanòi Primitivo,4.4,1,695,695.0
5072,"Avizoise Blanc de Blancs Extra Brut Champagne Grand Cru 'Avize',Vénus Blanc de Blancs Brut Nature Champagne Grand Cru 'Avize'",4.4,2,2072,1036.0
5040,Valmezzane Amarone della Valpolicella,4.4,1,799,799.0
4899,Schlehdorn Riesling Trocken,4.4,1,202,202.0
4740,Todeschini Distique Saint-Émilion Grand Cru,4.4,1,185,185.0
4510,Saint-Émilion Grand Cru,4.4,1,2829,2829.0
4440,Chambertin Grand Cru,4.4,1,2542,2542.0
4128,Brunello di Montalcino Riserva,4.4,1,333,333.0
3981,Charmes-Chambertin Grand Cru,4.4,1,276,276.0
3948,Brunello di Montalcino Riserva,4.4,1,987,987.0
3928,Altura Máxima Malbec,4.4,1,2168,2168.0
3876,123 Brunello di Montalcino Riserva,4.4,1,525,525.0
3796,Barolo Riserva Leon,4.4,1,948,948.0
3671,Roccolo Ludwig Barth von Barthenau,4.4,1,155,155.0
3617,"Ribolla Gialla,Rujno Rosso",4.4,2,7550,3775.0
3269,Côte Rôtie La Brocarde,4.4,1,278,278.0
3189,Dogs of the Barossa Shiraz,4.4,1,264,264.0
3149,"Mille E Una Notte,Ben Ryé Passito di Pantelleria",4.4,2,37216,18608.0
3106,Puligny-Montrachet 1er Cru 'Les Champs Gains',4.4,1,429,429.0
3104,Colore Toscana,4.4,1,1415,1415.0
3094,"Hohenmorgen G.C,Kalkofen G.C",4.4,2,566,283.0
3023,Toscana I Sodi di San Niccolo,4.4,1,8853,8853.0
3013,Mai The First A.Montes Malbec,4.4,1,6379,6379.0
2801,Brunello di Montalcino Riserva,4.4,1,306,306.0
2752,Les Ruchons Sancerre Blanc,4.4,1,269,269.0
2696,Saint-Émilion Grand Cru,4.4,1,1527,1527.0
2690,"Barolo Bricco Gattera,Barolo Enrico VI",4.4,2,5472,2736.0
2639,Brunello di Montalcino Riserva,4.4,1,437,437.0
2611,Il 'Divasco' Riserva,4.4,1,255,255.0
2548,Charmes-Chambertin Grand Cru,4.4,1,277,277.0
2523,V Red,4.4,1,1715,1715.0
2431,Lupicaia,4.4,1,4414,4414.0
2418,Mazis-Chambertin Grand Cru,4.4,1,433,433.0
2337,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.4,1,6879,6879.0
2313,Saffredi,4.4,1,10499,10499.0
2259,Barolo Rocche,4.4,1,1615,1615.0
2214,"Brunello di Montalcino,Brunello di Montalcino Riserva",4.4,2,6261,3130.5
2211,"Big'd Big Barolo,Vigna Cappella di S. Stefano Perno Barolo,Vigna Madonna Assunta La Villa Barolo Riserva",4.4,3,4132,1377.3333333333333
2170,"L'Apparita,Vigneto Bellavista Chianti Classico",4.4,2,5238,2619.0
2071,Corton-Charlemagne Grand Cru,4.4,1,178,178.0
2035,Pomerol,4.4,1,3377,3377.0
2030,Champ Cain Extra Brut Champagne Grand Cru 'Avize',4.4,1,234,234.0
1972,Côtes de Bourg,4.4,1,8249,8249.0
1949,Turriga Isola dei Nuraghi,4.4,1,14641,14641.0
1933,Amarone della Valpolicella Classico,4.4,1,18720,18720.0
1910,La Grande Rue Grand Cru Monopole,4.4,1,1496,1496.0
1903,"Barolo Bussia,Barolo Bussia Vigna Munie",4.4,2,4666,2333.0
1855,Nebro Ribera del Duero,4.4,1,647,647.0
1845,Barolo Ginestra Casa Maté,4.4,1,4116,4116.0
1788,Clos Saint Denis Grand Cru,4.4,1,474,474.0
1740,Toro,4.4,1,60705,60705.0
1707,Douro,4.4,1,6214,6214.0
1703,Pomerol,4.4,1,3509,3509.0
1672,"Vosne-Romanée,Echezeaux Grand Cru",4.4,2,2341,1170.5
1652,Colheita Porto,4.4,1,741,741.0
1646,Charmes-Chambertin Grand Cru,4.4,1,359,359.0
1620,Siepi,4.4,1,8129,8129.0
1598,Réservé Châteauneuf-du-Pape,4.4,1,297,297.0
1567,"Puligny-Montrachet Enseignères,Bâtard-Montrachet Grand Cru",4.4,2,2123,1061.5
1537,"Bonnes Mares Grand Cru,Chambertin Clos de Bèze Grand Cru",4.4,2,1435,717.5
1513,Pomerol,4.4,1,13504,13504.0
1507,Corton Grand Cru 'Clos Rognet',4.4,1,543,543.0
1479,Clos de la Roche Grand Cru Cuvée Vieilles Vignes,4.4,1,2678,2678.0
1475,Côte à Côte Estate,4.4,1,1133,1133.0
1467,Torre Muga,4.4,1,8767,8767.0
1447,"Vürsù Barbaresco Starderi,Vürsù Barbaresco Valeirano,Vürsù Barolo Campè,Vürsù Barbaresco Gallina",4.4,4,18199,4549.75
1441,"Bric Dël Fiasc Barolo,Rocche dell'Annunziata Barolo Riserva",4.4,2,6556,3278.0
1431,Belles Soeurs Cuvée Pinot Noir,4.4,1,229,229.0
1425,Barsac (Premier Grand Cru Classé),4.4,1,6028,6028.0
1422,Gevrey Chambertin 1er Cru 'Aux Combottes',4.4,1,1002,1002.0
1415,"Nuits-Saint-Georges,Chassagne-Montrachet 1er Cru 'Morgeot'",4.4,2,540,270.0
1406,Attunga 1865 Shiraz,4.4,1,371,371.0
1392,"Corton-Charlemagne Grand Cru,Romanée-Saint-Vivant Grand Cru Les Quatre Journaux,Chevalier-Montrachet Grand Cru Les Demoiselles",4.4,3,7018,2339.3333333333335
1369,"Aphrodite,Ares",4.4,2,2362,1181.0
1338,One Sixteen Chardonnay,4.4,1,1753,1753.0
1334,Georges De Latour Private Reserve Cabernet Sauvignon,4.4,1,12652,12652.0
1310,Altagracia Cabernet Sauvignon,4.4,1,3083,3083.0
1309,Pauillac (Grand Cru Classé),4.4,1,47234,47234.0
1308,"Puligny-Montrachet 1er Cru 'La Garenne',Musigny Grand Cru",4.4,2,613,306.5
1283,Pomerol,4.4,1,7221,7221.0
1263,Mazis-Chambertin Grand Cru Cuvée Madeleine Collignon,4.4,1,1016,1016.0
1258,Cabernet Sauvignon,4.4,1,2830,2830.0
1248,Corton-Charlemagne Grand Cru,4.4,1,10296,10296.0
628,Lot 1,4.4,1,226,226.0
528,Alexander Valley Cabernet Sauvignon,4.4,1,46066,46066.0
403,Les Noisetiers,4.4,1,7035,7035.0
16997,"Pommard 1er Cru Les Rugiens-Bas,Clos Vougeot Grand Cru,Vosne-Romanée 1er Cru Aux Malconsorts Christiane",4.3999999999999995,3,1127,375.6666666666667
7666,"Barolo Cannubi Boschis,Barolo Le Vigne,Vite Talin Barolo",4.3999999999999995,3,9455,3151.6666666666665
7654,"Paleo Rosso,Messorio,Scrio",4.3999999999999995,3,18776,6258.666666666667
11096,"Quarz Sauvignon,Gewürztraminer Lunare,Lagrein Riserva Porphyr,Riserva Nova Domus Terlaner,Grande Cuvée I Terlaner",4.38,5,22400,4480.0
3619,"Gran Reserva Ribera del Duero,Reserva Ribera del Duero,Amaya Arzuaga (Colección)",4.366666666666667,3,15189,5063.0
1702,"Buisson Renard,Silex,Pur Sang",4.366666666666667,3,14139,4713.0
1583,"Amarone della Valpolicella Classico,Amarone della Valpolicella Classico Riserva (Sergio Zenato),Cresasso Corvina Veronese",4.366666666666667,3,60625,20208.333333333332
2460,"Clos de L'Obac,Miserere,Dolç de L'Obac",4.366666666666666,3,4420,1473.3333333333333
1543,"Chambolle-Musigny Premier Cru Les Charmes,Vosne-Romanée Premier Cru Les Suchots,Clos de la Roche Grand Cru",4.366666666666666,3,1315,438.3333333333333
183545,"Fort Ross Seaview Home Field Pinot Noir,Royal St Robert Cuvée Pinot Noir",4.35,2,2582,1291.0
82811,"Macán Clásico,Macán",4.35,2,30893,15446.5
53529,"Sed de Caná,Chafandin",4.35,2,2915,1457.5
30829,"Tokaji Aszú 5 Puttonyos,Tokaji Aszú 6 Puttonyos",4.35,2,1088,544.0
21586,"Preta Cuvée David Booth Grande Reserva,Os Paulistas Chão dos Eremitas Vinhas Velhas",4.35,2,1841,920.5
14299,"Gran Corte (VII),Gran Malbec (X)",4.35,2,27595,13797.5
12264,"Serral del Vell Brut Nature,Reserva Particular de Recaredo Gran Reserva Brut Nature",4.35,2,3341,1670.5
8624,"Corton-Charlemagne Grand Cru,Meursault 1er Cru 'Les Genevrières'",4.35,2,2519,1259.5
7770,"Amarone della Valpolicella,Cěrǎsum Riserva Amarone della Valpolicella",4.35,2,5149,2574.5
5450,"Ribera del Duero Prestigio,Ribera del Duero Reserva",4.35,2,40388,20194.0
4643,"Brunello di Montalcino Riserva,Brunello di Montalcino",4.35,2,4109,2054.5
4272,"Brunello di Montalcino,Brunello di Montalcino Riserva",4.35,2,9157,4578.5
2381,"Bricco dell'Uccellone Barbera d'Asti,Ai Suma Barbera d'Asti",4.35,2,20637,10318.5
1913,"Brunello di Montalcino,Brunello di Montalcino Riserva",4.35,2,8189,4094.5
1806,"Barolo Bricco Rocche,Barolo Prapò,Barolo Brunate,Barbaresco Asili",4.35,4,10378,2594.5
1723,"Brunello di Montalcino,Brunello di Montalcino Riserva",4.35,2,9211,4605.5
1587,"Vecchie Vigne Brunello di Montalcino,Brunello di Montalcino Riserva",4.35,2,4219,2109.5
1476,"Il Bricco Barbaresco,Ornato Barolo",4.35,2,7768,3884.0
1450,"Clos des Lambrays Grand Cru,Puligny-Montrachet Premier Cru Clos du Cailleret",4.35,2,6826,3413.0
12996,"Carabantes Syrah,Montelìg,Toknar",4.333333333333334,3,9461,3153.6666666666665
1843,"Châteauneuf-Du-Pape Cuvée Des Générations Gaston-Philippe,Châteauneuf-du-Pape,Chateauneuf-Du-Pape Cuvée Des Générations Marie Leoncie",4.333333333333334,3,17035,5678.333333333333
13146,"La Chapelle de La Mission Haut-Brion Pessac-Léognan,Pessac-Léognan (Grand Cru Classé de Graves),Pessac-Léognan Blanc (Grand Cru Classé de Graves)",4.333333333333333,3,23911,7970.333333333333
19992,"Primitivo di Manduria,6 Anime Puglia Rosso,80 Vecchie Vigne Primitivo di Manduria Old Vines,50 Old Vines Vecchie Vigne Negroamaro",4.325,4,7473,1868.25
1864,"Castillo Ygay Gran Reserva Especial Tinto,Capellanía Reserva,Gran Reserva Rioja (Finca Ygay),Dalmau Rioja",4.324999999999999,4,47947,11986.75
23851,"Pochi Filagn Barbera d'Alba,Annunziata Barolo Riserva",4.300000000000001,2,548,274.0
4772,"Solare Toscana,50 & 50",4.300000000000001,2,14118,7059.0
4208,"Beyond the Clouds,Cuvée Kermesse Rosso",4.300000000000001,2,5913,2956.5
1837,"Rioja 150 Aniversario,Barón de Chirel Rioja Reserva",4.300000000000001,2,13220,6610.0
291112,Crescendo,4.3,1,1347,1347.0
244651,Bolgheri Superiore,4.3,1,14242,14242.0
242840,Cabernet - Cabernet,4.3,1,27436,27436.0
228509,Ulysses,4.3,1,1980,1980.0
215545,Clos de Vougeot Grand Cru,4.3,1,467,467.0
192080,Pomerol,4.3,1,4641,4641.0
177327,Saint-Julien (Grand Cru Classé),4.3,1,37174,37174.0
116221,Brunello di Montalcino,4.3,1,2592,2592.0
115806,Saint-Estèphe (Grand Cru Classé),4.3,1,35624,35624.0
59455,San Vicente Rioja,4.3,1,10701,10701.0
56544,B Bordicon Blend,4.3,1,1088,1088.0
53258,Clos de la Coulée de Serrant,4.3,1,8365,8365.0
52856,Sauternes,4.3,1,938,938.0
51948,Gratallops Partida Bellvisos,4.3,1,627,627.0
51482,Vigna Molsino,4.3,1,2269,2269.0
43084,Maggiarino Vino Nobile di Montepulciano,4.3,1,555,555.0
42463,Vigne Vecchie Gold Series Leggenda Primitivo di Manduria,4.3,1,3121,3121.0
40819,Vosne-Romanée 'Les Quartiers de Nuits',4.3,1,511,511.0
32320,Barolo Paiagallo,4.3,1,1917,1917.0
31669,Winemaker's Selection,4.3,1,292,292.0
30823,Amarone della Valpolicella,4.3,1,1712,1712.0
29001,Piovesole Amarone della Valpolicella Classico,4.3,1,868,868.0
26177,Brunello di Montalcino,4.3,1,5202,5202.0
17826,Amarone della Valpolicella Classico,4.3,1,1670,1670.0
15779,Amarone della Valpolicella Classico,4.3,1,1940,1940.0
15775,Platinum,4.3,1,883,883.0
15576,"Côtes du Rhône,Vacqueyras",4.3,2,11608,5804.0
15418,Brunello di Montalcino,4.3,1,828,828.0
13983,Vintage Port,4.3,1,1076,1076.0
12536,Volnay 1er Cru Les Caillerets,4.3,1,591,591.0
12168,Lindaflor Blend,4.3,1,3550,3550.0
11880,Amarone della Valpolicella,4.3,1,4014,4014.0
11477,Barbaresco Gaiun Martinenga,4.3,1,2298,2298.0
11270,Sauternes (Premier Grand Cru Classé),4.3,1,17293,17293.0
11265,Barolo Riserva Vigna Rionda,4.3,1,3530,3530.0
11188,Saint-Julien (Grand Cru Classé),4.3,1,32627,32627.0
10940,Corte di Cama Sforzato di Valtellina,4.3,1,3211,3211.0
7927,Brunello di Montalcino Riserva Vigna Paganelli,4.3,1,7123,7123.0
7710,Cà Bertoldi Amarone della Valpolicella Classico,4.3,1,3708,3708.0
7703,Brunello di Montalcino,4.3,1,7929,7929.0
7637,Saint-Julien (Grand Cru Classé),4.3,1,33618,33618.0
6897,Sassella Nuova Regina Riserva,4.3,1,987,987.0
6812,Perpetual,4.3,1,3809,3809.0
6609,Brunello di Montalcino,4.3,1,8875,8875.0
6551,Bordeaux,4.3,1,2246,2246.0
6275,Cava Celler Batlle,4.3,1,1575,1575.0
4026,Blanc,4.3,1,2053,2053.0
3962,Brunello di Montalcino Riserva Pian di Conte,4.3,1,1118,1118.0
3952,Meursault 1er Cru 'Charmes',4.3,1,242,242.0
3931,Chassagne-Montrachet,4.3,1,3269,3269.0
3641,Annonciade Champagne,4.3,1,137,137.0
3245,Barolo Monvigliero,4.3,1,2758,2758.0
3155,Esporão Private Selection Tinto,4.3,1,12566,12566.0
2987,Félix Callejo (Viñedos de la Familia),4.3,1,1341,1341.0
2834,Echezeaux Grand Cru,4.3,1,338,338.0
2727,Capitel Monte Olmi Amarone della Valpolicella Classico Riserva,4.3,1,4229,4229.0
2672,Brunello di Montalcino Riserva,4.3,1,1825,1825.0
2654,Toscana Il Pareto,4.3,1,3195,3195.0
2396,Nine Popes,4.3,1,2118,2118.0
2341,Rocche di Castiglione Barolo,4.3,1,2397,2397.0
2200,"Barbaresco Rabajà,Maria Adelaide Barbaresco",4.3,2,5970,2985.0
2093,Chambertin Grand Cru,4.3,1,1293,1293.0
2058,Chateau Buena Vista Cabernet Sauvignon Napa Valley,4.3,1,13415,13415.0
2001,"Toscana Batar,Toscana Camartina",4.3,2,7860,3930.0
1945,"Barolo Cannubi,Barolo Cerequio",4.3,2,5691,2845.5
1936,Cuvée Impériale Châteauneuf-du-Pape,4.3,1,1881,1881.0
1916,Rapture Cabernet Sauvignon,4.3,1,2117,2117.0
1842,Pomerol,4.3,1,3870,3870.0
1833,Galatrona,4.3,1,7971,7971.0
1795,Chassagne-Montrachet 1er Cru 'La Maltroie',4.3,1,779,779.0
1777,Gaudium,4.3,1,7414,7414.0
1769,Barolo Riserva Bricco Boschis Vigna San Giuseppe,4.3,1,4030,4030.0
1676,25 anni Montefalco Sagrantino,4.3,1,5419,5419.0
1544,Cepparello Red,4.3,1,12191,12191.0
1538,"Barolo Sorì Ginestra,Barolo Ginestra Vigna del Gris",4.3,2,8160,4080.0
1514,Barolo Ciabot Mentin Ginestra,4.3,1,3525,3525.0
1489,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.3,1,10699,10699.0
1471,Lion Tamer Napa Valley Red Blend,4.3,1,4981,4981.0
1444,Chambolle-Musigny,4.3,1,3455,3455.0
1387,Hermitage La Chapelle Rouge,4.3,1,15298,15298.0
1384,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.3,1,17090,17090.0
1340,Pessac-Léognan (Grand Cru Classé de Graves),4.3,1,25444,25444.0
1300,Chardonnay,4.3,1,18694,18694.0
1264,Pomerol,4.3,1,11885,11885.0
1228,Oreno Toscana,4.3,1,12407,12407.0
1215,Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes,4.3,1,875,875.0
253,Rutherford Cabernet Sauvignon,4.3,1,655,655.0
2004,"Percarlo,La Ricolma",4.25,2,6333,3166.5
1871,"Barolo Riserva,Barolo Cannubi",4.25,2,14464,7232.0
246747,Toscana,4.2,1,7434,7434.0
227850,Chambolle-Musigny Les Baudes,4.2,1,525,525.0
176101,Conde de Superunda,4.2,1,3237,3237.0
134564,Cuvée Extase Blanc de Blancs Champagne Grand Cru,4.2,1,231,231.0
49412,Old Vines Malbec,4.2,1,667,667.0
17340,Brunello di Montalcino,4.2,1,1598,1598.0
14976,Amarone Della Valpolicella Marta Galli,4.2,1,1085,1085.0
11205,Barolo Cerretta,4.2,1,1921,1921.0
5116,Margaux (Grand Cru Classé),4.2,1,15699,15699.0
4693,Bolgheri Superiore Sondraia,4.2,1,12843,12843.0
4604,Vieilles Vignes Meursault,4.2,1,1426,1426.0
4274,Linticlarus Lagrein Riserva,4.2,1,1387,1387.0
4009,Malbec,4.2,1,33640,33640.0
3829,Barolo Monvigliero,4.2,1,1163,1163.0
3060,Kevin Arnold Shiraz,4.2,1,6987,6987.0
2636,Montepulciano d'Abruzzo,4.2,1,10110,10110.0
1680,Pomerol,4.2,1,11645,11645.0
1388,Châteauneuf-du-Pape Chaupin,4.2,1,4483,4483.0
6305,Red,4.1,1,1297,1297.0
1234,Clos des Porrets Nuits-Saint-Georges 1er Cru,4.1,1,3063,3063.0
